Protein,Low Acetate,High Acetate,Higher Acetate,High Fomrate,WTvsAchrs48,WTvsAchr144,WTvsH2hr,WTvsH2hr144
GSU2061,0.155780389,0.339756313,-0.060545995,-0.060545995,-1.64492305,1.761385431,-0.734223226,0.592179612
GSU2062,0.568675883,0.614225456,0.403863535,0.403863535,-0.660987184,0.313376311,0.360883363,-0.488280297
GSU2063,0.674451992,0.63680028,0.272598642,0.272598642,0.041709115,-0.502442486,0.148414997,-0.796932233
GSU2064,-0.61619659,-0.573549978,-1.289960712,-1.289960712,0.098517905,-6.069606334,1.481055054,0.682709362
GSU2065,-0.91546339,-0.784524592,-1.400967654,-1.400967654,0.221413797,-3.520944525,-2.293701657,-0.479390082
GSU2066,-0.174647826,0.289808461,-0.334640974,-0.334640974,-0.697921336,0.108306197,-1.405511901,-0.439153954
GSU2067,0.616940408,1.040784173,0.330600609,0.330600609,-0.063876248,-5.523349039,-0.912204081,0.174469345
GSU2068,-0.583188151,0.205079578,-0.503391679,-0.503391679,1.57644844,-0.26221844,-1.885340095,0.320349971
GSU2069,0.004571263,0.356465563,-0.228070198,-0.228070198,-0.706698709,-0.617653118,-1.770478454,1.086177247
GSU2070,0.106821046,0.237243601,0.303868043,0.303868043,-1.146183148,0.058574783,-1.450309308,-3.574038977
GSU2071,0.123351714,0.52108844,0.054847093,0.054847093,-1.393815462,-2.08325587,0.906246295,-2.609155193
GSU2072,-0.133086736,0.142728391,0.097462381,0.097462381,-5.404271361,-5.56109977,0.73963202,-0.030980108
GSU2073,-3.520636396,-1.123311251,-2.73928212,-2.73928212,0.967080383,0.997486316,-0.059259142,-4.211247396
GSU2074,-2.78948617,-1.095310131,-1.737022664,-1.737022664,-0.566200781,0.859489414,-2.192551492,3.277169057
GSU2075,-3.005290257,-1.218451842,-2.252778058,-2.252778058,0.591297186,0.585295342,0.553738989,0.297508056
GSU2076,-3.537313113,-1.257163969,-2.356714962,-2.356714962,-0.208390251,-1.899111639,0.029756071,2.237776126
GSU2077,1.663082865,3.388510461,3.773052936,3.773052936,-0.804408958,-1.950338506,0.042716458,2.500722677
GSU2078,1.150227944,2.006792738,1.81041125,1.81041125,-1.45512197,-0.713823807,-0.89558077,-0.273146465
GSU2079,-0.100225517,0.212580533,-0.239137619,-0.239137619,-1.00926807,-1.003873773,-1.013802802,0.237336786
GSU2080,0.135815685,0.433455845,-0.487483307,-0.487483307,-1.593213741,-2.305011678,-1.493773061,0.291814834
GSU2081,-0.200292787,0.247538966,-0.259791736,-0.259791736,-0.568208345,-1.192611464,-3.140584534,-0.831483768
GSU2082,-0.929264887,-0.486091521,-0.617904672,-0.617904672,-4.93980546,-1.353538836,-3.046094296,1.155074965
GSU2083,-0.523009452,-0.175096772,-0.412366689,-0.412366689,-6.481985607,-5.911744067,0.781702523,0.250908177
GSU2084,0.55883527,0.380796764,-0.230089382,-0.230089382,-2.055919346,-1.172674242,-0.840867628,0.257627179
GSU2085,0.272056518,0.643362717,-0.119592315,-0.119592315,-0.537009787,-0.469703749,2.52481627,0.752420248
GSU2086,0.29423219,0.808851951,-0.084531936,-0.084531936,-0.794747574,-0.995977534,3.643143939,-3.741643229
GSU2087,-0.025622258,-0.079760761,-0.641877166,-0.641877166,-0.872114561,-2.651137671,0.65480177,-3.454203768
GSU2088,0.210661039,0.520470287,-0.323935848,-0.323935848,0.433735734,-1.00778816,1.318387836,0.965693931
GSU2089,-0.736860147,-0.402669263,-0.980123188,-0.980123188,0.257737457,-1.600817096,1.985631113,-3.454203768
GSU2090,0.013051435,0.254524835,0.439216538,0.439216538,-2.764165821,-5.828852539,1.906788272,-0.445886879
GSU2091,-0.22328464,0.002802049,-0.190955902,-0.190955902,-2.895325908,0.875094752,-0.806055142,-1.99615917
GSU2092,-0.224792938,0.184197336,-0.097042451,-0.097042451,0,0,0,0
GSU2093,-0.854453024,-0.534063472,-0.377272116,-0.377272116,0.41495788,-2.344724368,-0.893667903,1.804831558
GSU2094,0.705824184,1.224516071,-0.462791735,-0.462791735,1.839245178,-2.599857713,-1.830041053,-1.284462981
GSU2095,0.144658647,0.857241812,-0.224086525,-0.224086525,2.181585936,0.304187882,-0.93321016,-2.579478196
GSU2096,-0.272292643,0.18215995,-0.714430032,-0.714430032,0.799840388,0.558109211,1.132731778,0.029333358
